"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-01","6.4",",,W",,,"0.0",",,W,2400","0.0",",,W","-3.3","H,,S","0.6",",,W","-5.5",",,W","  230",",,W","  210",",,W","10.3",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-02","5.7",",,W",,,"0.0",",,W,2400","0.0",",,W","1.3","H,,S","5.0",",,W","-0.5",",,W","  270",",,W","  260",",,W","11.6",",,W","14.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-03","4.6",",,W",,,"15.7",",,W,2400","36.0",",,W","-2.1","H,,S","2.8",",,W","-5.5",",,W","  120",",,W","  120",",,W","9.8",",,W","11.2",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-04","3.7",",,W",,,"14.5",",,W,2400","0.0",",,W","3.5","H,,S","11.1",",,W","1.7",",,W","  270",",,W","  250",",,W","7.6",",,W","11.6",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-05","9.9",",,W",,,"0.0",",,W,2400","0.0",",,W","4.2","H,,S","10.0",",,W","-8.2",",,W","  280",",,W","  270",",,W","16.5",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-06","3.9",",,W",,,"0.5",",,W,2400","5.0",",,W","-8.2","H,,S","-7.7",",,W","-9.3",",,W","  260",",,W","  290",",,W","9.8",",,W","12.5",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-07","7.0",",,W",,,"0.0","T,,W,2400","0.0","T,,W","-7.3","H,,S","-3.2",",,W","-15.5",",,W","  290",",,W","  300",",,W","13.9",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-08","6.4",",,W",,,"0.0",",,W,2400","0.0",",,W","-13.4","H,,S","-7.1",",,W","-18.2",",,W","  300",",,W","  290",",,W","11.2",",,W","14.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-09","6.4",",,W",,,"0.3",",,W,2400","5.0",",,W","-4.8","H,,S","-1.0",",,W","-7.1",",,W","  270",",,W","  220",",,W","11.2",",,W","15.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-10","5.2",",,W",,,"0.0",",,W,2400","0.0",",,W","-5.6","H,,S","-4.3",",,W","-8.2",",,W","  270",",,W","  270",",,W","8.9",",,W","10.3",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-11","4.3",",,W",,,"0.0",",,W,2400","0.0",",,W","-6.1","H,,S","0.6",",,W","-9.3",",,W","  260",",,W","  270",",,W","7.6",",,W","10.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-12","4.2",",,W",,,"5.1",",,W,2400","0.0","T,,W","1.7","H,,S","3.3",",,W","0.6",",,W","  330",",,W","  350",",,W","7.6",",,W","10.3",",,W","    1",",,W",,,,,"    1",",,W",,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-13","4.7",",,W",,,"0.0",",,W,2400","0.0",",,W","-2.7","H,,S","1.7",",,W","-9.3",",,W","  330",",,W","  330",",,W","9.4",",,W","11.6",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-14","3.9",",,W",,,"0.0","T,,W,2400","0.0","T,,W","-7.6","H,,S","-3.8",",,W","-9.9",",,W","  330",",,W","  320",",,W","5.8",",,W","7.2",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-15","4.3",",,W",,,"3.0",",,W,2400","20.0",",,W","-3.3","H,,S","-0.5",",,W","-3.8",",,W","  250",",,W","  250",",,W","6.7",",,W","9.4",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-16","7.0",",,W",,,"0.0",",,W,2400","0.0",",,W","-2.1","H,,S","3.3",",,W","-9.3",",,W","  290",",,W","  290",",,W","13.0",",,W","17.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-17","4.9",",,W",,,"0.0",",,W,2400","0.0",",,W","-8.8","H,,S","-5.5",",,W","-12.7",",,W","  290",",,W","  310",",,W","9.8",",,W","13.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-18","4.4",",,W",,,"3.8",",,W,2400","0.0",",,W","-0.2","H,,S","10.6",",,W","-6.6",",,W","  180",",,W","  140",",,W","11.6",",,W","14.8",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-19","6.8",",,W",,,"0.0",",,W,2400","0.0",",,W","5.7","H,,S","7.8",",,W","0.0",",,W","  260",",,W","  250",",,W","10.3",",,W","13.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-20","6.0",",,W",,,"0.0",",,W,2400","0.0",",,W","0.8","H,,S","3.9",",,W","-2.7",",,W","  260",",,W","  250",",,W","10.3",",,W","13.4",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-21","3.0",",,W",,,"0.0",",,W,2400","0.0",",,W","-2.7","H,,S","1.1",",,W","-5.5",",,W","  320",",,W","  330",",,W","6.3",",,W","8.9",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-22","3.1",",,W",,,"0.0","T,,W,2400","0.0","T,,W","0.0","H,,S","2.8",",,W","-1.6",",,W","  290",",,W","  290",",,W","6.3",",,W","7.6",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-23","4.6",",,W",,,"0.0",",,W,2400","0.0",",,W","-0.7","H,,S","2.8",",,W","-4.3",",,W","  240",",,W","  280",",,W","7.2",",,W","9.8",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-24","4.6",",,W",,,"18.0",",,W,2400","130.0",",,W","0.2","H,,S","1.1",",,W","-0.5",",,W","  270",",,W","  260",",,W","8.1",",,W","10.7",",,W","    1",",,W","    1",",,W",,,,,,,"    1",",,W",,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-25","6.4",",,W",,,"0.0",",,W,2400","0.0",",,W","0.8","H,,S","3.3",",,W","-7.1",",,W","  270",",,W","  260",",,W","11.2",",,W","14.8",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-26","7.3",",,W",,,"2.5",",,W,2400","58.0",",,W","-6.6","H,,S","-1.6",",,W","-11.6",",,W","   30",",,W","   30",",,W","14.8",",,W","19.2",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-27","9.9",",,W",,,"24.1",",,W,2400","561.0",",,W","-7.6","H,,S","-7.1",",,W","-9.9",",,W","  360",",,W","  360",",,W","14.3",",,W","20.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-28","5.7",",,W",,,"0.3",",,W,2400","5.0",",,W","-8.6","H,,S","-4.3",",,W","-10.5",",,W","  310",",,W","  310",",,W","8.9",",,W","11.6",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-29","1.9",",,W",,,"0.0","T,,W,2400","0.0","T,,W","-5.9","H,,S","0.0",",,W","-12.1",",,W","  310",",,W","  310",",,W","5.8",",,W","7.6",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-30","5.3",",,W",,,"1.5",",,W,2400","18.0",",,W","-0.7","H,,S","1.1",",,W","-7.1",",,W","  310",",,W","  310",",,W","14.3",",,W","19.7",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-01-31","9.8",",,W",,,"1.3",",,W,2400","33.0",",,W","-7.6","H,,S","-6.0",",,W","-11.6",",,W","  320",",,W","  320",",,W","16.1",",,W","21.5",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-01","5.3",",,W",,,"0.0",",,W,2400","0.0",",,W","-7.1","H,,S","-1.0",",,W","-11.0",",,W","  270",",,W","  270",",,W","9.8",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-02","8.1",",,W",,,"19.8",",,W,2400","411.0",",,W","-6.7","H,,S","-0.5",",,W","-12.1",",,W","   50",",,W","   50",",,W","16.1",",,W","20.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-03","5.8",",,W",,,"0.0",",,W,2400","0.0",",,W","-10.5","H,,S","-5.5",",,W","-14.3",",,W","  300",",,W","  300",",,W","10.7",",,W","14.8",",,W",,,,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-04","4.2",",,W",,,"0.3",",,W,2400","0.0",",,W","-4.9","H,,S","3.3",",,W","-9.9",",,W","  230",",,W","  220",",,W","8.9",",,W","11.6",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-05","6.6",",,W",,,"2.3",",,W,2400","20.0",",,W","-0.7","H,,S","2.2",",,W","-13.8",",,W","  320",",,W","  310",",,W","13.4",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-06","5.1",",,W",,,"0.0","T,,W,2400","0.0","T,,W","-11.3","H,,S","-6.0",",,W","-14.9",",,W","  300",",,W","  300",",,W","9.4",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-07","4.8",",,W",,,"1.8",",,W,2400","23.0",",,W","-5.2","H,,S","-1.6",",,W","-8.8",",,W","  240",",,W","  230",",,W","8.9",",,W","11.6",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-08","6.0",",,W",,,"9.4",",,W,2400","188.0",",,W","-3.6","H,,S","-1.6",",,W","-10.5",",,W","   30",",,W","   40",",,W","9.8",",,W","12.5",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-09","6.7",",,W",,,"22.4",",,W,2400","376.0",",,W","-8.3","H,,S","-3.8",",,W","-9.9",",,W","   30",",,W","   20",",,W","11.6",",,W","14.3",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-10","5.0",",,W",,,"1.3",",,W,2400","18.0",",,W","-6.7","H,,S","-1.0",",,W","-9.9",",,W","  360",",,W","  350",",,W","9.4",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-11","5.2",",,W",,,"0.3",",,W,2400","13.0",",,W","-5.8","H,,S","-3.8",",,W","-9.9",",,W","   20",",,W","   40",",,W","10.3",",,W","13.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-12","2.4",",,W",,,"0.8",",,W,2400","25.0",",,W","-6.2","H,,S","-1.0",",,W","-8.8",",,W","  330",",,W","  330",",,W","7.2",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-13","6.9",",,W",,,"0.0",",,W,2400","0.0",",,W","-8.8","H,,S","-5.5",",,W","-13.8",",,W","  290",",,W","  300",",,W","12.5",",,W","16.5",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-14","4.3",",,W",,,"5.8",",,W,2400","81.0",",,W","-10.4","H,,S","-1.0",",,W","-16.0",",,W","  120",",,W","  320",",,W","9.8",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-15","9.3",",,W",,,"9.9",",,W,2400","330.0",",,W","-7.1","H,,S","-6.6",",,W","-18.8",",,W","  310",",,W","  280",",,W","14.8",",,W","22.8",",,W","    1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-16","8.8",",,W",,,"0.0",",,W,2400","0.0",",,W","-14.2","H,,S","-7.1",",,W","-19.3",",,W","  290",",,W","  300",",,W","13.9",",,W","18.3",",,W",,,,,,,,,,,,,,,"    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-17","3.5",",,W",,,"0.5",",,W,2400","15.0",",,W","-9.7","H,,S","-4.9",",,W","-12.1",",,W","  360",",,W","   10",",,W","6.3",",,W","8.1",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-18","2.4",",,W",,,"0.3",",,W,2400","0.0","T,,W","-4.8","H,,S","-1.6",",,W","-8.2",",,W","  280",",,W","  280",",,W","6.3",",,W","7.6",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-19","6.3",",,W",,,"1.5",",,W,2400","61.0",",,W","-3.7","H,,S","-1.0",",,W","-12.1",",,W","  260",",,W","  250",",,W","13.4",",,W","17.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W","    1",",,W"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-20","8.3",",,W",,,"0.0",",,W,2400","0.0",",,W","-11.4","H,,S","-6.6",",,W","-14.9",",,W","  270",",,W","  260",",,W","12.5",",,W","15.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-21","5.0",",,W",,,"4.3",",,W,2400","28.0",",,W","-8.5","H,,S","1.1",",,W","-15.5",",,W","  200",",,W","  210",",,W","11.6",",,W","15.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-22","2.3",",,W",,,"2.8",",,W,2400","3.0",",,W","0.8","H,,S","3.9",",,W","-2.1",",,W","  280",",,W","  280",",,W","5.8",",,W","7.2",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-23","6.5",",,W",,,"0.0",",,W,2400","0.0",",,W","-3.0","H,,S","0.6",",,W","-15.5",",,W","  280",",,W","  280",",,W","11.2",",,W","15.7",",,W",,,,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-24","4.2",",,W",,,"0.0","T,,W,2400","0.0","T,,W","-12.9","H,,S","-7.1",",,W","-16.6",",,W","  190",",,W","  190",",,W","8.9",",,W","10.7",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-25","4.8",",,W",,,"1.8",",,W,2400","48.0",",,W","-5.0","H,,S","1.7",",,W","-9.9",",,W","  280",",,W","  270",",,W","9.8",",,W","13.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-26","4.1",",,W",,,"0.5",",,W,2400","5.0",",,W","-6.0","H,,S","-5.5",",,W","-8.2",",,W","   30",",,W","   30",",,W","8.1",",,W","9.4",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2015-02-27","3.7",",,W",,,"0.0",",,W,2400","0.0",",,W","-6.5","H,,S","-2.7",",,W","-9.3",",,W","  290",",,W","  330",",,W","6.3",",,W","8.1",",,W",,,,,,,,,,,,,,,,
